product_code,fiscal_year,gross_price
A0519150202,2020.0,24.1658
A0519150202,2021.0,24.9298
A0519150203,2019.0,22.2916
A0519150203,2020.0,24.3127
A0519150203,2021.0,26.5871
A0519150204,2019.0,23.8492
A0519150204,2020.0,24.7823
A0519150204,2021.0,26.1081
A0519150204,2022.0,28.2055
A0519150205,2019.0,24.8906
A0519150205,2020.0,27.2201
A0519150205,2021.0,29.7008
A0519150205,2022.0,31.5446
A0519150206,2019.0,23.0202
A0519150206,2020.0,26.4794
A0519150206,2021.0,31.2439
A0519150206,2022.0,33.8465
A0519150207,2019.0,26.7138
A0519150207,2020.0,27.4563
A0519150207,2021.0,32.4427
A0519150207,2022.0,34.8698
A0519150208,2019.0,26.9675
A0519150208,2020.0,29.7525
A0519150208,2021.0,30.5816
A0519150208,2022.0,34.7322
A0619150301,2020.0,29.3716
A0619150301,2021.0,30.4696
A0619150301,2022.0,33.7441
A0619150302,2020.0,31.6222
A0619150302,2021.0,34.0973
A0619150302,2022.0,34.5601
A0620150303,2020.0,33.5635
A0620150303,2021.0,34.2412
A0620150303,2022.0,37.8311
A0620150304,2020.0,33.2821
A0620150304,2021.0,37.5826
A0620150304,2022.0,39.4286
A0620150305,2020.0,33.4988
A0620150305,2021.0,36.5679
A0620150305,2022.0,37.9687
A0620150306,2020.0,35.1332
A0620150306,2021.0,37.5278
A0620150306,2022.0,37.3796
A0621150307,2020.0,36.2515
A0621150307,2021.0,36.2434
A0621150307,2022.0,38.6782
A0621150308,2020.0,38.0905
A0621150308,2021.0,39.399
A0621150308,2022.0,42.9439
A0721150401,2020.0,36.3186
A0721150401,2021.0,39.3377
A0721150401,2022.0,41.2631
A0721150402,2020.0,38.6769
A0721150402,2021.0,39.1465
A0721150402,2022.0,40.6203
A0721150403,2021.0,39.299
A0721150403,2022.0,41.8341
A0721150404,2021.0,39.1215
A0721150404,2022.0,43.9853
A0821150501,2021.0,40.5013
A0821150501,2022.0,41.0043
A0821150502,2021.0,43.2966
A0821150502,2022.0,45.1451
A0821150503,2021.0,42.3841
A0821150503,2022.0,45.8139
A0821150504,2021.0,44.7044
A0821150504,2022.0,42.5859
A0921150601,2021.0,45.0813
A0921150601,2022.0,45.8043
A0921150602,2022.0,44.7021
A0921150603,2022.0,45.4109
A0921150604,2022.0,48.3644
A1018150101,2018.0,96.8184
A1018150101,2019.0,94.9405
A1018150101,2020.0,106.021
A1018150101,2021.0,111.1036
A1018150102,2018.0,108.7179
A1018150102,2019.0,101.8855
A1018150102,2020.0,117.1501
A1018150102,2021.0,123.4797
A1018150103,2018.0,105.1661
A1018150103,2019.0,110.6881
A1018150103,2020.0,116.0312
A1018150103,2021.0,123.9315
A1118150201,2018.0,111.9039
A1118150201,2019.0,104.1366
A1118150201,2020.0,121.9321
A1118150201,2021.0,124.264
A1118150201,2022.0,142.8914
A1118150202,2018.0,120.1266
A1118150202,2019.0,122.5077
A1118150202,2020.0,129.9138
A1118150202,2021.0,129.5836
A1118150202,2022.0,147.8293
A1119150203,2018.0,117.2387
A1119150203,2019.0,122.0329
A1119150203,2020.0,121.8916
A1119150203,2021.0,139.8962
A1119150203,2022.0,146.5723
A1219150301,2018.0,123.3768
A1219150301,2019.0,122.6817
A1219150301,2020.0,129.2191
A1219150301,2021.0,135.6822
A1219150301,2022.0,141.9565
A1219150302,2019.0,122.16
A1219150302,2020.0,137.8678
A1219150302,2021.0,145.1474
A1219150302,2022.0,140.7789
A1219150303,2019.0,136.2612
A1219150303,2020.0,141.0602
A1219150303,2021.0,142.9402
A1219150303,2022.0,150.9005
A1319150401,2020.0,145.2439
A1319150401,2021.0,149.1034
A1319150401,2022.0,156.5414
A1320150402,2020.0,156.5957
A1320150402,2021.0,150.245
A1320150402,2022.0,159.3139
A1320150403,2020.0,145.2111
A1320150403,2021.0,160.6912
A1320150403,2022.0,168.5425
A1420150501,2020.0,145.5416
A1420150501,2021.0,160.5082
A1420150501,2022.0,171.4928
A1420150502,2021.0,169.4999
A1420150502,2022.0,170.8394
A1421150503,2021.0,176.4389
A1421150503,2022.0,188.3908
A1521150601,2021.0,186.2917
A1521150601,2022.0,198.0408
A1521150602,2021.0,185.4599
A1521150602,2022.0,203.4725
A1521150603,2022.0,214.5357
A1618150101,2018.0,17.3839
A1618150101,2019.0,14.9883
A1618150101,2020.0,18.5376
A1618150101,2021.0,19.6485
A1618150102,2018.0,16.3342
A1618150102,2019.0,16.223
A1618150102,2020.0,17.8567
A1618150102,2021.0,20.4629
A1618150103,2018.0,18.5921
A1618150103,2019.0,19.1862
A1618150103,2020.0,19.9124
A1618150103,2021.0,21.2017
A1618150104,2018.0,20.6645
A1618150104,2019.0,21.4835
A1618150104,2020.0,22.8704
A1618150104,2021.0,21.4489
A1718150201,2018.0,21.8214
A1718150201,2019.0,19.8474
A1718150201,2020.0,22.1241
A1718150201,2021.0,21.8879
A1718150201,2022.0,24.9538
A1718150202,2019.0,22.0701
A1718150202,2020.0,23.2801
A1718150202,2021.0,22.8957
A1718150202,2022.0,24.3068
A1718150203,2019.0,25.2552
A1718150203,2020.0,24.464
A1718150203,2021.0,27.3445
A1718150203,2022.0,29.0228
A1718150204,2019.0,24.6806
A1718150204,2020.0,28.0623
A1718150204,2021.0,28.3991
A1718150204,2022.0,29.8349
A1819150301,2019.0,22.5942
A1819150301,2020.0,28.0857
A1819150301,2021.0,28.8615
A1819150301,2022.0,32.204
A1819150302,2020.0,29.5991
A1819150302,2021.0,31.9525
A1819150302,2022.0,34.4159
A1819150303,2020.0,30.7387
A1819150303,2021.0,32.1924
A1819150303,2022.0,36.7018
A1819150304,2020.0,30.7681
A1819150304,2021.0,32.2612
A1819150304,2022.0,36.2416
A1919150401,2021.0,33.7609
A1919150401,2022.0,35.0443
A1919150402,2021.0,35.0256
A1919150402,2022.0,36.4676
A1919150403,2021.0,35.835
A1919150403,2022.0,36.403
A1920150404,2021.0,38.978
A1920150404,2022.0,43.0455
A2020150501,2021.0,41.3696
A2020150501,2022.0,40.3751
A2020150502,2021.0,39.3932
A2020150502,2022.0,45.46
A2021150503,2021.0,45.4377
A2021150503,2022.0,46.6534
A2021150504,2022.0,47.7179
A2118150101,2018.0,2.9296
A2118150101,2019.0,2.8445
A2118150101,2020.0,2.9168
A2118150101,2021.0,2.9434
A2118150102,2018.0,3.4647
A2118150102,2019.0,3.2449
A2118150102,2020.0,3.5117
A2118150102,2021.0,3.9998
A2118150103,2018.0,4.0085
A2118150103,2019.0,3.8312
A2118150103,2020.0,4.3084
A2118150103,2021.0,4.5295
A2118150103,2022.0,4.6403
A2118150104,2018.0,4.2797
A2118150104,2019.0,3.9465
A2118150104,2020.0,4.6297
A2118150104,2021.0,5.0459
A2118150104,2022.0,5.176
A2118150105,2018.0,4.5476
A2118150105,2019.0,4.0626
A2118150105,2020.0,4.8381
A2118150105,2021.0,4.6904
A2118150105,2022.0,5.1024
A2118150106,2018.0,5.2606
A2118150106,2019.0,4.4551
A2118150106,2020.0,5.2675
A2118150106,2021.0,5.2542
A2118150106,2022.0,5.2654
A2218150201,2018.0,4.5834
A2218150201,2019.0,4.8317
A2218150201,2020.0,5.2821
A2218150201,2021.0,5.4383
A2218150201,2022.0,5.923
A2218150202,2018.0,5.5054
A2218150202,2019.0,5.4559
A2218150202,2020.0,5.8735
A2218150202,2021.0,6.4054
A2218150202,2022.0,6.082
A2219150203,2018.0,6.8091
A2219150203,2019.0,6.0767
A2219150203,2020.0,6.856
A2219150203,2021.0,6.7301
A2219150203,2022.0,7.2943
A2219150204,2019.0,7.0268
A2219150204,2020.0,7.4345
A2219150204,2021.0,7.3526
A2219150204,2022.0,7.9548
A2219150205,2019.0,6.2861
A2219150205,2020.0,6.8929
A2219150205,2021.0,7.9813
A2219150205,2022.0,8.6264
A2219150206,2019.0,7.3991
A2219150206,2020.0,8.131
A2219150206,2021.0,8.3193
A2219150206,2022.0,8.1969
A2319150301,2019.0,7.1904
A2319150301,2020.0,8.6406
A2319150301,2021.0,8.8044
A2319150301,2022.0,9.3066
A2319150302,2019.0,7.0667
A2319150302,2020.0,7.9085
A2319150302,2021.0,8.9901
A2319150302,2022.0,8.9542
A2319150303,2019.0,8.2639
A2319150303,2020.0,9.1892
A2319150303,2021.0,9.3977
A2319150303,2022.0,10.0782
A2319150304,2019.0,9.1125
A2319150304,2020.0,10.0752
A2319150304,2021.0,10.4573
A2319150304,2022.0,10.8591
A2319150305,2019.0,8.7256
A2319150305,2020.0,9.7363
A2319150305,2021.0,10.437
A2319150305,2022.0,11.7032
A2319150306,2020.0,10.4922
A2319150306,2021.0,10.8659
A2319150306,2022.0,10.6167
A2419150401,2020.0,10.0514
A2419150401,2021.0,11.4829
A2419150401,2022.0,11.4238
A2419150402,2020.0,10.4117
A2419150402,2021.0,11.2819
A2419150402,2022.0,11.6039
A2419150403,2020.0,10.6763
A2419150403,2021.0,10.8925
A2419150403,2022.0,11.6938
A2419150404,2020.0,11.2117
A2419150404,2021.0,11.6332
A2419150404,2022.0,12.5879
A2419150405,2020.0,11.9431
A2419150405,2021.0,12.7423
A2419150405,2022.0,12.9904
A2420150406,2020.0,11.4307
A2420150406,2021.0,12.2979
A2420150406,2022.0,13.2622
A2520150501,2021.0,12.0689
A2520150501,2022.0,12.4056
A2520150502,2021.0,14.5267
A2520150502,2022.0,14.0283
A2520150503,2021.0,14.1682
A2520150503,2022.0,15.2483
A2520150504,2021.0,14.28
A2520150504,2022.0,15.3015
A2520150505,2021.0,15.1762
A2520150505,2022.0,15.2526
A2520150506,2021.0,14.5677
A2520150506,2022.0,17.0339
A2620150601,2021.0,14.9013
A2620150601,2022.0,14.6964
A2620150602,2021.0,15.8102
A2620150602,2022.0,15.3198
A2620150603,2021.0,15.9792
A2620150603,2022.0,15.6962
A2620150604,2021.0,16.5491
A2620150604,2022.0,17.3022
A2620150605,2021.0,16.5882
A2620150605,2022.0,17.8088
A2620150606,2021.0,16.785
A2620150606,2022.0,18.0671
A2720150701,2021.0,17.0917
A2720150701,2022.0,17.7052
A2721150702,2021.0,17.2368
A2721150702,2022.0,17.4468
A2721150703,2021.0,16.9353
A2721150703,2022.0,17.6996
A2721150704,2021.0,19.586
A2721150704,2022.0,20.1341
A2721150705,2021.0,19.4042
A2721150705,2022.0,20.8537
A2721150706,2021.0,20.0537
A2721150706,2022.0,22.5748
A2821150801,2021.0,21.7118
A2821150801,2022.0,22.0898
A2821150802,2022.0,23.3804
A2821150803,2022.0,23.2131
A2821150804,2022.0,24.3225
A2821150805,2022.0,24.9778
A2821150806,2022.0,25.9617
A2918150101,2018.0,5.9563
A2918150101,2019.0,5.0926
A2918150101,2020.0,6.6247
A2918150101,2021.0,6.8991
A2918150102,2018.0,7.2936
A2918150102,2019.0,6.5369
A2918150102,2020.0,7.7183
A2918150102,2021.0,7.5979
A2918150103,2018.0,7.2694
A2918150103,2019.0,6.6802
A2918150103,2020.0,7.4447
A2918150103,2021.0,7.7693
A2918150104,2018.0,8.791
A2918150104,2019.0,8.0339
A2918150104,2020.0,9.2172
A2918150104,2021.0,8.9514
A2918150104,2022.0,10.3002
A2918150105,2018.0,8.554
A2918150105,2019.0,7.9601
A2918150105,2020.0,9.0206
A2918150105,2021.0,9.465
A2918150105,2022.0,9.8071
A2918150106,2018.0,9.5093
A2918150106,2019.0,8.6429
A2918150106,2020.0,9.7651
A2918150106,2021.0,10.4188
A2918150106,2022.0,11.1728
A3018150201,2018.0,10.0629
A3018150201,2019.0,10.2907
A3018150201,2020.0,10.1318
A3018150201,2021.0,10.7955
A3018150201,2022.0,11.534
A3018150202,2018.0,9.9546
A3018150202,2019.0,8.5191
A3018150202,2020.0,10.7548
A3018150202,2021.0,11.0524
A3018150202,2022.0,12.4838
A3018150203,2018.0,11.8215
A3018150203,2019.0,11.3781
A3018150203,2020.0,11.4191
A3018150203,2021.0,12.3739
A3018150203,2022.0,12.8363
A3019150204,2018.0,10.9748
A3019150204,2019.0,9.8846
A3019150204,2020.0,10.5568
A3019150204,2021.0,11.6011
A3019150204,2022.0,12.83
A3019150205,2018.0,10.4114
A3019150205,2019.0,10.2095
A3019150205,2020.0,11.4364
A3019150205,2021.0,12.0509
A3019150205,2022.0,12.2334
A3019150206,2018.0,12.2966
A3019150206,2019.0,11.6773
A3019150206,2020.0,12.8819
A3019150206,2021.0,13.0018
A3019150206,2022.0,14.3065
A3119150301,2019.0,12.2524
A3119150301,2020.0,12.9355
A3119150301,2021.0,13.5061
A3119150301,2022.0,14.2861
A3119150302,2019.0,11.3919
A3119150302,2020.0,14.0538
A3119150302,2021.0,15.3071
A3119150302,2022.0,15.6578
A3119150303,2019.0,11.9158
A3119150303,2020.0,14.8815
A3119150303,2021.0,16.2407
A3119150303,2022.0,16.6577
A3120150304,2019.0,12.5841
A3120150304,2020.0,14.0641
A3120150304,2021.0,16.3792
A3120150304,2022.0,17.2113
A3120150305,2019.0,14.7624
A3120150305,2020.0,16.1161
A3120150305,2021.0,16.3218
A3120150305,2022.0,16.8988
A3120150306,2019.0,15.3904
A3120150306,2020.0,16.6688
A3120150306,2021.0,19.3003
A3120150306,2022.0,18.1428
A3220150401,2019.0,15.0206
A3220150401,2020.0,16.3836
A3220150401,2021.0,18.4943
A3220150401,2022.0,18.9946
A3220150402,2019.0,16.0981
A3220150402,2020.0,19.5757
A3220150402,2021.0,18.7947
A3220150402,2022.0,21.2328
A3220150403,2020.0,18.6726
A3220150403,2021.0,18.5844
A3220150403,2022.0,20.0617
A3220150404,2020.0,18.2513
A3220150404,2021.0,18.4219
A3220150404,2022.0,21.3932
A3220150405,2020.0,18.1401
A3220150405,2021.0,18.9415
A3220150405,2022.0,21.233
A3220150406,2020.0,19.4804
A3220150406,2021.0,20.0066
A3220150406,2022.0,21.2152
A3320150501,2020.0,18.179
A3320150501,2021.0,20.3908
A3320150501,2022.0,20.9348
A3320150502,2020.0,20.9546
A3320150502,2021.0,21.6988
A3320150502,2022.0,22.2424
A3320150503,2020.0,18.8626
A3320150503,2021.0,20.8733
A3320150503,2022.0,22.9333
A3320150504,2020.0,21.1391
A3320150504,2021.0,22.1341
A3320150504,2022.0,22.6443
A3320150505,2021.0,23.0844
A3320150505,2022.0,23.5797
A3320150506,2021.0,23.7678
A3320150506,2022.0,24.6012
A3420150601,2021.0,24.569
A3420150601,2022.0,26.7691
A3420150602,2021.0,23.9726
A3420150602,2022.0,26.6722
A3421150603,2021.0,26.9507
A3421150603,2022.0,25.8214
A3421150604,2021.0,27.4152
A3421150604,2022.0,29.2567
A3421150605,2021.0,29.8692
A3421150605,2022.0,31.2151
A3421150606,2021.0,29.6709
A3421150606,2022.0,31.7797
A3521150701,2021.0,29.3872
A3521150701,2022.0,32.5995
A3521150702,2021.0,30.3414
A3521150702,2022.0,31.0668
A3521150703,2021.0,31.7665
A3521150703,2022.0,34.7948
A3521150704,2021.0,33.6246
A3521150704,2022.0,34.2684
A3521150705,2021.0,34.5114
A3521150705,2022.0,34.184
A3521150706,2022.0,36.0347
A3621150801,2022.0,38.6889
A3621150802,2022.0,35.7337
A3621150803,2022.0,41.2801
A3621150804,2022.0,36.5574
A3621150805,2022.0,37.1048
A3621150806,2022.0,40.2939
A3718150101,2018.0,14.8373
A3718150101,2019.0,13.5836
A3718150101,2020.0,15.4679
A3718150101,2021.0,16.5127
A3718150101,2022.0,17.5588
A3718150102,2018.0,15.1965
A3718150102,2019.0,15.5216
A3718150102,2020.0,16.6587
A3718150102,2021.0,16.1015
A3718150102,2022.0,17.5896
A3718150103,2018.0,15.5279
A3718150103,2019.0,14.8738
A3718150103,2020.0,16.2027
A3718150103,2021.0,17.5697
A3718150103,2022.0,17.9197
A3718150104,2018.0,16.2396
A3718150104,2019.0,13.9861
A3718150104,2020.0,16.6713
A3718150105,2018.0,15.0771
A3718150105,2019.0,14.1616
A3718150105,2020.0,16.9522
A3718150105,2021.0,18.0312
A3718150105,2022.0,17.592
A3818150201,2018.0,14.253
A3818150201,2019.0,13.8166
A3818150201,2020.0,16.0551
A3818150201,2021.0,17.2648
A3818150201,2022.0,18.1091
A3818150202,2018.0,16.3085
A3818150202,2019.0,17.1932
A3818150202,2020.0,16.5828
A3818150202,2021.0,17.5197
A3818150202,2022.0,18.5331
A3819150203,2019.0,14.9939
A3819150203,2020.0,17.0648
A3819150203,2021.0,18.4533
A3819150203,2022.0,20.4602
A3819150204,2019.0,18.0584
A3819150204,2020.0,18.8824
A3819150204,2021.0,21.1942
A3819150205,2019.0,18.1524
A3819150205,2020.0,19.622
A3819150205,2021.0,21.6066
A3819150205,2022.0,23.7694
A3920150301,2020.0,20.7513
A3920150301,2021.0,22.1454
A3920150301,2022.0,23.4593
A3920150302,2020.0,22.3948
A3920150302,2021.0,23.152
A3920150302,2022.0,24.1884
A3920150303,2020.0,23.0298
A3920150303,2021.0,25.467
A3920150303,2022.0,25.8054
A3920150304,2020.0,25.2923
A3920150304,2021.0,25.0442
A3920150305,2020.0,25.712
A3920150305,2021.0,27.4546
A3920150305,2022.0,28.8775
A4020150401,2020.0,25.0815
A4020150401,2021.0,26.9302
A4020150401,2022.0,29.6179
A4020150402,2020.0,24.7483
A4020150402,2021.0,28.45
A4020150402,2022.0,29.4337
A4021150403,2021.0,29.9423
A4021150403,2022.0,30.164
A4021150404,2021.0,28.58
A4021150404,2022.0,32.2424
A4021150405,2021.0,31.7029
A4021150405,2022.0,31.4889
A4118110101,2018.0,134.3391
A4118110101,2019.0,132.3724
A4118110101,2020.0,154.0148
A4118110102,2018.0,150.3619
A4118110102,2019.0,151.5574
A4118110102,2020.0,172.9702
A4118110103,2018.0,152.0548
A4118110103,2019.0,145.5372
A4118110103,2020.0,155.1157
A4118110104,2018.0,179.0713
A4118110104,2019.0,160.1282
A4118110104,2020.0,170.2798
A4118110105,2018.0,160.8792
A4118110105,2019.0,155.8812
A4118110105,2020.0,179.2448
A4118110105,2021.0,182.8932
A4118110105,2022.0,186.7438
A4118110106,2018.0,160.696
A4118110106,2019.0,155.7262
A4118110106,2020.0,164.6593
A4118110106,2021.0,187.7533
A4118110106,2022.0,180.1529
A4118110107,2018.0,151.705
A4118110107,2019.0,157.8368
A4118110107,2020.0,182.4194
A4118110107,2021.0,195.7721
A4118110107,2022.0,200.9967
A4218110201,2018.0,169.6995
A4218110201,2019.0,155.8899
A4218110201,2020.0,182.2427
A4218110201,2021.0,200.2732
A4218110201,2022.0,199.1197
A4218110202,2018.0,178.6515
A4218110202,2019.0,186.2963
A4218110202,2020.0,214.0228
A4218110202,2021.0,215.9341
A4218110202,2022.0,229.3728
A4218110203,2018.0,188.1041
A4218110203,2019.0,173.7689
A4218110203,2020.0,206.9644
A4218110203,2021.0,236.8486
A4218110203,2022.0,249.9859
A4218110204,2018.0,218.6216
A4218110204,2019.0,212.063
A4218110204,2020.0,225.6933
A4218110204,2021.0,232.1038
A4218110204,2022.0,247.9097
A4218110205,2018.0,216.7417
A4218110205,2019.0,203.766
A4218110205,2020.0,241.4048
A4218110205,2021.0,240.1403
A4218110205,2022.0,249.4914
A4218110206,2019.0,207.4623
A4218110206,2020.0,224.1823
A4218110206,2021.0,237.0183
A4218110206,2022.0,254.6505
A4218110207,2019.0,198.6216
A4218110207,2020.0,219.3972
A4218110207,2021.0,249.1303
A4218110207,2022.0,254.7062
A4218110208,2019.0,194.3987
A4218110208,2020.0,217.1334
A4218110208,2021.0,243.0414
A4218110208,2022.0,269.2106
A4318110301,2019.0,217.7112
A4318110301,2020.0,250.7311
A4318110301,2021.0,264.7
A4318110301,2022.0,275.1377
A4319110302,2019.0,198.1168
A4319110302,2020.0,227.5638
A4319110302,2021.0,267.2091
A4319110302,2022.0,272.3082
A4319110303,2019.0,193.4498
A4319110303,2020.0,241.4135
A4319110303,2021.0,261.2305
A4319110303,2022.0,285.181
A4319110304,2019.0,211.9411
A4319110304,2020.0,243.9734
A4319110304,2021.0,267.0636
A4319110304,2022.0,279.537
A4319110305,2019.0,226.7356
A4319110305,2020.0,249.6999
A4319110305,2021.0,277.8079
A4319110305,2022.0,297.8441
A4319110306,2019.0,213.2268
A4319110306,2020.0,252.985
A4319110306,2021.0,275.8194
A4319110306,2022.0,275.4291
A4419110401,2019.0,219.0032
A4419110401,2020.0,258.2179
A4419110401,2021.0,271.3471
A4419110401,2022.0,294.3112
A4419110402,2019.0,234.5086
A4419110402,2020.0,270.5573
A4419110402,2021.0,281.9504
A4419110402,2022.0,309.5463
A4419110403,2019.0,234.7982
A4419110403,2020.0,267.8653
A4419110403,2021.0,288.0503
A4419110403,2022.0,298.8889
A4419110404,2020.0,284.881
A4419110404,2021.0,286.8973
A4419110404,2022.0,319.8354
A4419110405,2020.0,299.4172
A4419110405,2021.0,291.2071
A4419110405,2022.0,321.1314
A4419110406,2020.0,281.2664
A4419110406,2021.0,287.5666
A4419110406,2022.0,301.3344
A4419110407,2020.0,272.485
A4419110407,2021.0,287.4934
A4419110407,2022.0,327.6938
A4419110408,2020.0,298.6129
A4419110408,2021.0,297.0277
A4419110408,2022.0,334.8519
A4519110501,2020.0,301.467
A4519110501,2021.0,311.8396
A4519110501,2022.0,331.9323
A4519110502,2020.0,296.9288
A4519110502,2021.0,300.3378
A4519110502,2022.0,330.1661
A4519110503,2020.0,287.9833
A4519110503,2021.0,306.9189
A4519110503,2022.0,338.7865
A4520110504,2020.0,310.0885
A4520110504,2021.0,341.7343
A4520110504,2022.0,353.684
A4520110505,2021.0,325.2156
A4520110505,2022.0,330.828
A4520110506,2021.0,325.2561
A4520110506,2022.0,375.8694
A4520110507,2021.0,322.9426
A4520110507,2022.0,359.4757
A4520110508,2021.0,327.093
A4520110508,2022.0,364.145
A4620110601,2021.0,347.2474
A4620110601,2022.0,346.4184
A4620110602,2021.0,346.6886
A4620110602,2022.0,368.1202
A4620110603,2021.0,366.0459
A4620110603,2022.0,378.6195
A4620110604,2021.0,353.0982
A4620110604,2022.0,361.105
A4620110605,2021.0,349.2525
A4620110605,2022.0,403.2148
A4620110606,2021.0,348.5375
A4620110606,2022.0,352.9651
A4620110607,2021.0,347.803
A4620110607,2022.0,401.0301
A4620110608,2021.0,363.063
A4620110608,2022.0,370.6679
A4720110701,2021.0,367.7335
A4720110701,2022.0,414.9311
A4720110702,2021.0,371.4027
A4720110702,2022.0,396.582
A4721110703,2021.0,361.6496
A4721110703,2022.0,422.0133
A4721110704,2021.0,380.2153
A4721110704,2022.0,374.189
A4721110705,2021.0,377.4069
A4721110705,2022.0,391.0368
A4721110706,2022.0,378.2094
A4721110707,2022.0,393.14
A4721110708,2022.0,398.1255
A4821110801,2022.0,411.309
A4821110802,2022.0,417.3259
A4821110803,2022.0,427.7607
A4821110804,2022.0,433.6268
A4821110805,2022.0,431.3687
A4821110806,2022.0,452.9789
A4821110807,2022.0,446.0366
A4821110808,2022.0,460.554
A4918110101,2018.0,362.8123
A4918110101,2019.0,354.415
A4918110101,2020.0,414.0527
A4918110101,2021.0,419.1936
A4918110101,2022.0,454.0007
A4918110102,2018.0,377.9958
A4918110102,2019.0,358.5876
A4918110102,2020.0,410.7825
A4918110102,2021.0,451.4881
A4918110102,2022.0,488.4622
A4918110103,2018.0,382.528
A4918110103,2019.0,363.6566
A4918110103,2020.0,404.5499
A4918110103,2021.0,428.1451
A4918110103,2022.0,477.8976
A4918110104,2018.0,407.4077
A4918110104,2019.0,381.4794
A4918110104,2020.0,442.7747
A4918110104,2021.0,460.2805
A4918110104,2022.0,455.0545
A5018110201,2018.0,395.5787
A5018110201,2019.0,368.0411
A5018110201,2020.0,448.4344
A5018110201,2021.0,451.7049
A5018110201,2022.0,463.157
A5018110202,2018.0,413.1084
A5018110202,2019.0,412.7582
A5018110202,2020.0,460.212
A5018110202,2021.0,462.5568
A5018110202,2022.0,438.4616
A5018110203,2018.0,409.7719
A5018110203,2019.0,371.6314
A5018110203,2020.0,429.914
A5018110203,2021.0,452.142
A5018110203,2022.0,476.5341
A5018110204,2018.0,389.9866
A5018110204,2019.0,364.5204
A5018110204,2020.0,423.8962
A5018110204,2021.0,447.7337
A5018110204,2022.0,489.4859
A5018110205,2019.0,401.3629
A5018110205,2020.0,445.7859
A5018110205,2021.0,486.1763
A5018110205,2022.0,468.711
A5018110206,2019.0,365.3942
A5018110206,2020.0,419.1448
A5018110206,2021.0,475.5544
A5018110206,2022.0,482.2904
A5018110207,2019.0,396.3206
A5018110207,2020.0,434.3492
A5018110207,2021.0,475.1904
A5018110207,2022.0,532.1954
A5019110208,2019.0,367.475
A5019110208,2020.0,422.5003
A5019110208,2021.0,467.3047
A5019110208,2022.0,499.2907
A5119110301,2019.0,396.6661
A5119110301,2020.0,447.8328
A5119110301,2021.0,479.0441
A5119110301,2022.0,504.4033
A5119110302,2019.0,407.1738
A5119110302,2020.0,429.4731
A5119110302,2021.0,474.3132
A5119110302,2022.0,473.825
A5119110303,2019.0,418.8955
A5119110303,2020.0,435.3706
A5119110303,2021.0,474.3154
A5119110303,2022.0,514.2513
A5119110304,2019.0,446.884
A5119110304,2020.0,450.3517
A5119110305,2020.0,455.3407
A5119110305,2021.0,483.3813
A5119110305,2022.0,529.9028
A5119110306,2020.0,487.0934
A5119110306,2021.0,486.4857
A5119110306,2022.0,556.4849
A5119110307,2020.0,506.2689
A5119110307,2021.0,516.458
A5119110307,2022.0,551.768
A5119110308,2020.0,502.7354
A5119110308,2021.0,512.5811
A5119110308,2022.0,512.3217
A5219110401,2020.0,502.3724
A5219110401,2021.0,506.9644
A5219110401,2022.0,537.3272
A5219110402,2020.0,456.1586
A5219110402,2021.0,490.1582
A5219110402,2022.0,573.2411
